Title,Units sold,Initial release date,Platform,Firm,Genre,Developer,Publisher(s),Image
Super Mario Bros.,40.24,1985,NES,Nintendo,Platformer,Nintendo R&D4,Nintendo,http://www.retroplace.com/pics/nes/packshots/3275--super-mario-bros.png
Tetris (Game Boy),35,1989,Game Boy,Nintendo,Puzzle,Nintendo R&D1,Nintendo,https://upload.wikimedia.org/wikipedia/en/4/4a/Tetris_Boxshot.jpg
Duck Hunt,28.31,1984,NES,Nintendo,Light gun shooter,Nintendo R&D1,Nintendo,https://static.wikia.nocookie.net/nintendo/images/e/e9/DuckHunt_box.jpg
Super Mario Land,18.14,1989,Game Boy,Nintendo,Platformer,Nintendo R&D1,Nintendo,https://upload.wikimedia.org/wikipedia/en/0/02/Supermariolandboxart.jpg
Super Mario Bros. 3,17.28,1988,NES,Nintendo,Platformer,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/a/a5/Super_Mario_Bros._3_coverart.png
Donkey Kong,15.05,1982,Multi-platform,Nintendo,Platformer,Nintendo R&D1,"Coleco, Atari Corporation",https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Donkey_Kong_flier.jpg/220px-Donkey_Kong_flier.jpg
Pac-Man,11.15,1982,Multi-platform,Multi,Maze,Namco,"Atari, Coleco, Namco, Thunder Mountain",https://upload.wikimedia.org/wikipedia/en/0/03/PacMan2600box.jpg
Tetris (NES),8,1989,NES,Nintendo,Puzzle,Nintendo R&D1,Nintendo,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Tetris_NES_cover_art.jpg/220px-Tetris_NES_cover_art.jpg
Super Mario Bros. 2,7.46,1988,NES,Nintendo,Platformer,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/0/00/Super_Mario_Bros_2.jpg
The Legend of Zelda,6.51,1986,NES,Nintendo,Action-adventure,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/4/41/Legend_of_zelda_cover_%28with_cartridge%29_gold.png
Space Invaders,6.09,1980,Atari VCS,Atari,Shoot 'em up,Taito,"Atari, Inc.",https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Space_Invaders_flyer%2C_1978.jpg/220px-Space_Invaders_flyer%2C_1978.jpg
Pitfall!,5,1982,Multi-platform,Multi,Platformer,Activision,Activision,https://upload.wikimedia.org/wikipedia/en/0/06/Pitfall%21_Coverart.png
Pokémon Red / Green / Blue / Yellow,46.02,1996,Game Boy,Nintendo,Role-playing,Game Freak,Nintendo,https://m.media-amazon.com/images/I/61RD48DCKQL._AC_SX466_.jpg
Pokémon Gold / Silver,23.1,1999,Game Boy Color,Nintendo,Role-playing,Game Freak,Nintendo,https://upload.wikimedia.org/wikipedia/en/4/4c/Pok%C3%A9mon_box_art_-_Gold_Version.png
Super Mario World,20.61,1990,SNES,Nintendo,Platformer,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/3/32/Super_Mario_World_Coverart.png
Lemmings,20,1991,Multi-platform,Multi,Puzzle,DMA Design,Psygnosis,https://upload.wikimedia.org/wikipedia/en/0/0c/Lemmings-BoxScan.jpg
Sonic the Hedgehog,15,1991,Mega Drive/Genesis,Sega,Platformer,Sonic Team,Sega,https://upload.wikimedia.org/wikipedia/en/b/ba/Sonic_the_Hedgehog_1_Genesis_box_art.jpg
Street Fighter II,14.05,1992,Multi-platform,Multi,Fighting,Capcom,Capcom,https://i.ebayimg.com/images/g/IMwAAMXQ0pNQ9gtJ/s-l500.jpg
Super Mario 64,11.91,1996,Nintendo 64,Nintendo,Platformer,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/6/6a/Super_Mario_64_box_cover.jpg
Super Mario Land 2: 6 Golden Coins,11.18,1992,Game Boy,Nintendo,Platformer,Nintendo R&D1,Nintendo,https://upload.wikimedia.org/wikipedia/en/0/0d/Super_Mario_Land_2_box_art.jpg
Final Fantasy VII,11.02,1997,PlayStation,Sony,Role-playing,Square,"Square, Sony Computer Entertainment, Eidos",https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Final_Fantasy_VII_Box_Art.jpg/220px-Final_Fantasy_VII_Box_Art.jpg
Gran Turismo,10.85,1997,PlayStation,Sony,Sim racing,Polyphony Digital,Sony Computer Entertainment,https://upload.wikimedia.org/wikipedia/en/c/c8/Gran_Turismo_-_Cover_-_JP.jpg
Super Mario All-Stars,10.55,1993,SNES,Nintendo,Platformer,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/3/3c/Super_Mario_All_Stars_%28game_box_art%29.jpg
Dr. Mario,10.19,1990,Multi-platform,Nintendo,Puzzle,Nintendo R&D1,Nintendo,https://upload.wikimedia.org/wikipedia/en/f/f8/Dr._Mario_box_art.jpg
Mario Kart 64,9.87,1996,Nintendo 64,Nintendo,Kart racing,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/a/a1/Mario_Kart_64.jpg
Gran Turismo 2,9.37,1999,PlayStation,Sony,Sim racing,Polyphony Digital,Sony Computer Entertainment,https://upload.wikimedia.org/wikipedia/en/6/6b/GranTurismo2.jpg
Donkey Kong Country,9.3,1994,SNES,Nintendo,Platformer,Rare,Nintendo,https://upload.wikimedia.org/wikipedia/en/c/c1/Dkc_snes_boxart.jpg
Super Mario Kart,8.76,1992,SNES,Nintendo,Kart racing,Nintendo EAD,Nintendo,https://upload.wikimedia.org/wikipedia/en/3/38/Supermariokart_box.JPG
Final Fantasy VIII,8.6,1999,PlayStation,Sony,Role-playing,Square,"Square, Square Electronic Arts",https://upload.wikimedia.org/wikipedia/en/5/5d/Final_Fantasy_8_ntsc-front.jpg
Tekken 3,8.3,1998,PlayStation,Sony,Fighting,Namco,"Namco, Sony Computer Entertainment",https://gamesrevisiteddotcom.files.wordpress.com/2019/01/tekken-3-playstation-front-cover.jpg
GoldenEye 007,8.09,1997,Nintendo 64,Nintendo,"First-person shooter, stealth",Rare,Nintendo,https://upload.wikimedia.org/wikipedia/en/3/36/GoldenEye007box.jpg
